259	255	4	874724710
259	286	4	874724727
259	298	4	874724754
259	185	4	874724781
259	173	4	874724843
259	772	4	874724882
259	108	4	874724882
259	288	3	874724905
259	928	4	874724937
259	117	4	874724988
259	200	4	874725081
259	405	3	874725120
259	1074	3	874725264
259	176	4	874725386
259	210	4	874725485
259	357	5	874725485
851	687	2	874728168
851	696	3	874728338
851	284	3	874728338
851	295	5	874728370
851	544	4	874728396
851	473	4	874728396
851	290	4	874728430
851	147	4	874728461
851	121	4	874728565
851	717	3	874728598
712	220	5	874729682
712	1040	4	874729682
712	510	2	874729749
712	731	5	874729750
712	417	4	874729750
712	50	4	874729750
712	385	5	874729778
712	623	4	874729778
712	97	5	874729816
712	66	5	874729816
712	79	4	874729850
712	969	4	874729850
712	553	5	874729850
712	96	5	874729850
712	181	5	874729901
712	173	5	874729901
712	172	5	874729901
712	498	3	874729935
712	402	4	874729935
712	739	4	874729935
712	421	4	874729935
712	234	2	874729935
712	42	1	874729935
712	423	3	874729960
712	692	5	874729995
712	99	4	874729995
712	174	5	874729995
712	392	5	874729996
712	812	4	874729996
712	1220	5	874729996
712	82	5	874730031
712	215	3	874730031
712	202	4	874730031
712	61	3	874730031
712	432	4	874730056
712	746	4	874730085
712	69	3	874730085
712	462	3	874730085
712	195	3	874730085
712	776	4	874730155
712	177	2	874730155
712	88	4	874730155
712	1055	4	874730155
712	4	4	874730179
712	785	5	874730206
712	1469	4	874730206
712	238	3	874730206
712	660	4	874730234
712	585	4	874730234
712	365	3	874730234
712	419	3	874730234
712	1503	4	874730235
712	72	4	874730261
712	560	3	874730261
712	71	5	874730261
712	228	3	874730261
712	622	4	874730293
712	73	5	874730293
712	210	5	874730293
712	662	5	874730320
712	393	3	874730320
712	141	3	874730320
712	584	4	874730342
712	732	5	874730370
712	949	4	874730370
712	378	4	874730370
712	716	5	874730370
712	196	4	874730396
712	191	3	874730396
712	83	4	874730396
712	59	2	874730420
712	136	1	874730443
712	404	3	874730467
712	655	5	874730467
712	230	3	874730467
712	1053	4	874730490
712	568	5	874730491
712	729	5	874730491
712	941	5	874730491
712	60	1	874730520
712	506	3	874730520
712	495	4	874730520
712	486	4	874730521
712	946	4	874730521
712	747	3	874730552
712	431	3	874730552
712	95	4	874730552
712	38	4	874730553
712	418	3	874730553
851	111	3	874767408
851	845	3	874767408
851	1014	3	874767408
851	742	5	874767519
851	405	5	874767550
851	824	4	874767550
851	815	3	874767550
119	300	5	874774286
119	286	5	874774286
119	322	4	874774449
119	323	4	874774449
119	275	5	874774575
119	866	3	874774575
119	100	5	874774575
119	458	5	874774575
119	50	5	874774718
119	455	4	874774719
119	741	4	874774815
119	718	5	874774956
119	235	5	874774956
119	813	4	874774956
119	277	4	874774993
119	237	5	874775038
119	298	4	874775038
119	1086	4	874775136
119	282	5	874775136
119	412	4	874775136
119	628	4	874775185
119	7	5	874775185
119	276	2	874775262
119	1016	5	874775262
119	125	5	874775262
119	93	4	874775262
119	222	5	874775311
119	121	4	874775311
119	472	4	874775406
119	742	5	874775406
119	829	5	874775406
119	982	4	874775406
119	823	3	874775406
119	181	4	874775406
119	597	4	874775465
119	762	4	874775465
119	287	4	874775465
119	117	5	874775535
119	924	4	874775535
119	274	4	874775580
119	109	5	874775580
119	826	4	874775580
119	475	4	874775580
119	257	4	874775614
119	473	3	874775647
119	1202	4	874775680
119	250	2	874775731
119	405	4	874775815
119	827	3	874775815
119	105	2	874775849
119	546	4	874775914
119	255	3	874775914
119	930	3	874775945
119	717	3	874775945
119	831	2	874775980
119	1034	3	874775980
640	790	4	874777260
640	11	4	874777440
640	12	5	874777491
640	496	4	874777491
640	382	4	874777528
640	56	5	874777528
640	180	5	874777528
640	170	5	874777583
640	474	4	874777623
640	134	5	874777623
640	770	4	874777658
640	64	5	874777701
640	47	4	874777735
640	81	5	874777735
640	175	5	874777735
640	55	5	874777765
640	461	4	874777833
640	169	5	874777890
640	182	5	874777925
640	318	5	874777948
640	204	5	874777974
640	91	4	874777998
640	4	4	874778065
640	85	5	874778065
